training_step,0,1,2,3,4
1411,379,563,389,298,210
2742,379,563,389,298,210
4139,379,563,389,298,210
5427,379,563,389,298,210
6718,379,563,389,298,210
7937,379,563,389,298,210
9159,379,563,389,298,210
10408,379,563,389,298,210
11646,379,563,389,298,210
12913,379,563,389,298,210
14177,379,563,389,298,210
15400,369,563,389,288,210
16741,369,563,389,288,210
18034,369,563,389,288,210
19194,369,563,389,288,210
20366,369,563,389,288,210
21573,369,563,389,288,210
22771,369,563,389,278,210
23901,369,553,379,278,200
25025,369,553,379,278,200
26149,369,553,379,278,200
27292,369,543,379,278,200
28485,369,543,379,268,200
29660,369,543,379,268,190
30827,369,543,369,268,190
31990,369,543,369,268,190
33240,369,533,369,268,190
34646,369,533,369,258,190
36042,369,533,359,258,190
37539,369,533,359,258,190
38727,369,533,359,258,190
40161,369,523,359,258,190
41538,369,523,359,258,190
42993,369,523,349,258,190
44355,369,523,349,258,190
45751,369,523,349,258,190
47117,369,523,349,258,190
48360,369,523,349,258,190
49568,369,523,339,258,190
50834,369,513,339,258,190
52304,369,513,339,258,190
53588,369,513,339,258,190
54924,369,513,339,258,190
56264,369,513,339,258,190
57545,369,513,339,258,190
58878,369,513,339,258,190
60168,369,513,329,258,190
61535,369,513,329,258,190
62748,369,513,329,258,190
64125,369,513,329,258,190
65422,369,513,319,258,190
66725,369,513,319,258,190
68014,369,513,319,258,190
69344,369,513,319,258,190
70602,369,513,319,258,190
71929,369,513,319,258,190
73195,369,513,319,258,190
74522,369,513,319,258,190
75840,369,513,309,258,190
77130,369,513,309,258,190
78440,369,513,309,258,190
79685,369,513,309,258,190
80948,369,513,309,258,190
82303,369,503,299,258,190
83581,369,503,299,258,190
84940,369,503,299,258,190
86234,369,503,299,258,190
87494,369,503,299,258,190
88728,369,493,299,258,190
89958,369,493,289,258,190
91109,369,493,289,258,190
92282,369,493,289,258,190
93439,369,493,289,258,190
94611,369,493,289,258,190
95841,369,493,289,258,190
97075,369,493,289,258,190
98223,369,493,289,258,190
99444,369,493,289,258,180
100742,369,493,289,258,180
102103,369,493,289,258,180
103551,369,493,289,258,180
104978,369,493,289,258,180
106400,369,493,289,258,180
107701,369,493,289,258,180
109160,369,493,289,248,180
110527,369,493,289,248,180
111956,369,493,289,248,180
113488,369,493,289,248,180
115130,369,493,289,248,180
116559,369,493,289,248,180
118155,369,493,289,248,180
119613,369,493,289,248,170
121230,369,483,289,248,170
123058,369,483,289,248,170
124658,369,483,289,248,170
126228,369,483,289,248,170
127802,369,483,289,248,170
129543,369,483,289,248,170
131279,369,473,289,248,170
133024,369,473,289,248,170
134690,369,473,289,248,170
136347,369,473,279,248,170
138180,359,463,279,248,170
140062,359,463,279,248,170
141911,359,463,279,248,170
143779,359,463,269,248,170
145776,359,453,269,248,170
147808,359,453,269,248,170
149806,359,453,269,248,170
151768,359,453,269,248,170
153679,359,453,259,248,170
155720,359,453,259,248,170
157777,359,443,259,248,170
159836,359,443,259,248,170
161889,359,443,259,248,170
163912,359,443,259,248,170
165934,359,443,259,248,170
168042,359,433,259,248,170
170117,359,433,259,248,170
172167,359,433,259,248,170
174248,359,433,259,248,170
176305,359,433,259,248,170
178395,359,433,259,248,170
180454,359,433,259,248,170
182516,359,433,259,248,170
184584,359,433,259,248,170
186623,359,433,259,248,170
188724,359,433,259,248,170
190799,359,433,259,248,170
192883,359,433,259,248,170
194976,359,433,259,248,170
197071,359,433,259,248,170
199149,359,433,259,248,170
201179,359,433,259,248,170
203231,359,433,259,248,170
205285,359,433,259,248,170
207376,359,433,259,248,170
209451,359,433,259,248,170
211522,359,433,259,248,170
213578,359,433,259,248,170
215618,359,433,259,248,170
217667,359,433,259,248,170
219667,359,433,259,248,170
221671,359,433,259,248,170
223691,359,433,259,248,170
225707,359,433,259,248,170
227704,359,433,259,248,170
229711,359,433,259,248,170
231763,359,433,259,248,170
233755,359,433,259,248,170
235774,359,433,259,248,170
237779,359,433,259,248,170
239796,359,433,259,248,170
241820,359,433,259,248,170
243852,359,433,259,248,170
245862,359,433,259,248,170
247880,359,433,259,248,170
249875,359,433,259,248,170
251891,359,433,259,248,170
253905,359,433,259,248,170
255914,359,433,259,248,170
257941,359,433,259,248,170
260075,359,423,259,238,170
262257,359,423,259,238,170
264372,359,423,259,238,170
266518,359,423,259,238,170
268656,359,423,259,238,170
270781,359,423,259,238,170
272890,359,423,259,238,170
275026,359,423,259,238,170
277142,359,423,259,238,170
279227,359,423,259,238,170
281351,359,423,259,238,170
283469,359,423,259,238,170
285614,359,423,259,238,170
287740,359,423,259,238,170
289871,359,423,259,238,170
292018,359,423,259,238,170
294076,359,423,259,238,170
296117,359,423,259,238,170
298292,359,413,259,238,170
300469,359,413,259,238,170
302751,359,413,249,238,170
305018,359,413,249,238,170
307372,359,403,249,238,170
309537,359,403,249,238,170
311772,359,403,249,238,170
313898,359,403,249,238,160
316141,359,403,249,238,160
318679,359,393,249,238,160
321057,359,393,249,238,160
323237,359,393,249,238,160
325402,359,393,249,238,160
327767,359,383,249,238,160
330123,349,383,249,238,150
332512,349,383,239,238,150
334733,349,383,239,238,150
336833,349,383,239,238,150
339217,349,373,239,238,150
341438,339,373,239,238,150
343671,339,373,229,238,150
345889,339,373,229,238,150
348231,339,363,229,238,150
350569,339,363,229,238,150
352933,339,363,229,238,150
355349,339,363,219,238,150
357720,339,363,219,238,150
360113,339,363,219,228,150
362553,339,353,219,228,150
365066,329,353,219,228,150
367479,329,353,219,228,150
370032,329,353,219,218,150
372389,329,353,219,218,150
374942,329,343,219,218,150
377491,319,343,219,218,150
380045,319,343,219,218,150
382673,319,343,219,218,150
385389,319,343,219,218,150
388187,319,343,219,218,150
390636,319,343,219,218,150
393118,319,343,219,218,150
395535,319,343,219,218,150
398226,319,333,219,218,150
400951,319,333,219,218,150
403642,319,333,219,218,150
406340,319,333,209,218,150
408813,319,333,209,218,150
411441,319,333,209,218,150
413891,319,323,209,218,150
416513,319,323,199,218,150
419095,319,323,199,218,150
421620,319,323,199,218,150
424196,319,323,199,218,150
426723,319,323,199,218,150
429292,319,323,199,218,150
431794,319,323,199,218,150
434380,319,323,199,218,150
436913,319,323,199,218,150
439533,319,323,199,218,150
442012,319,323,199,218,150
444569,319,323,199,218,150
447131,319,323,199,218,150
449543,319,323,199,218,150
452081,319,323,199,218,150
454563,319,323,199,218,150
457088,319,323,199,218,150
459691,319,323,199,218,150
462212,319,323,199,218,150
464749,319,323,199,218,150
467358,319,323,199,218,150
469805,319,323,199,218,150
472238,319,323,199,218,150
474705,319,323,199,218,150
477277,319,323,199,218,150
479848,319,323,199,218,150
482420,319,323,199,218,150
484827,319,323,199,218,150
487370,319,323,199,218,150
489838,319,323,199,218,150
492380,319,323,199,218,150
494892,319,323,199,218,150
497435,319,323,199,218,150
499941,319,323,199,218,150
502466,319,323,199,218,150
505030,319,323,199,218,150
507439,319,323,199,218,150
510003,319,323,199,218,150
512497,319,323,199,218,150
514962,319,323,199,218,150
517417,319,323,199,218,150
520034,319,323,199,218,150
522583,319,323,199,218,150
525156,319,323,199,218,150
527683,319,323,199,218,150
530157,319,323,199,218,150
532694,319,323,199,218,150
535141,319,323,199,218,150
537695,319,323,199,218,150
540215,319,323,199,218,150
542645,319,323,199,218,150
545122,319,323,199,218,150
547604,319,323,199,218,150
550090,319,323,199,218,150
552663,319,323,199,218,150
555163,319,323,199,218,150
557628,319,323,199,218,150
560072,319,323,199,218,150
562545,319,323,199,218,150
565003,319,323,199,218,150
567440,319,323,199,218,150
569948,319,323,199,218,150
572435,319,323,199,218,150
574992,319,323,199,218,150
577440,319,323,199,218,150
579845,319,323,199,218,150
582384,319,323,199,218,150
584895,319,323,199,218,150
587423,319,323,199,218,150
589908,319,323,199,218,150
592367,319,323,199,218,150
594894,319,323,199,218,150
597453,319,323,199,218,150
599931,319,323,199,218,150
602410,319,323,199,218,150
604910,319,323,199,218,150
607407,319,323,199,218,150
609913,319,323,199,218,150
612387,319,323,199,218,150
614892,319,323,199,218,150
617402,319,323,199,218,150
619847,319,323,199,218,150
622304,319,323,199,218,150
624812,319,323,199,218,150
627230,319,323,199,218,150
629721,319,323,199,218,150
632166,319,323,199,218,150
634680,319,323,199,218,150
637159,319,323,199,218,150
639527,319,323,199,218,150
642093,319,323,199,218,150
644618,319,323,199,218,150
647147,319,323,199,218,150
649629,319,323,199,218,150
652070,319,323,199,218,150
654457,319,323,199,218,150
656921,319,323,199,218,150
659425,319,323,199,218,150
661902,319,323,199,218,150
664433,319,323,199,218,150
666961,319,323,199,218,150
669479,319,323,199,218,150
671923,319,323,199,218,150
674374,319,323,199,218,150
676794,319,323,199,218,150
679216,319,323,199,218,150
681613,319,323,199,218,150
684033,319,323,199,218,150
686359,319,323,199,218,150
688740,319,323,199,218,150
691168,309,323,189,218,150
693619,309,323,189,218,140
696189,309,323,189,218,140
698659,309,323,189,218,140
701161,309,323,189,218,130
703684,309,323,189,218,130
706178,309,323,189,218,130
708641,309,323,189,218,130
711132,309,323,189,218,130
713775,299,323,189,218,120
716309,299,323,189,218,120
718841,299,323,189,218,120
721375,299,323,189,218,120
723871,299,323,189,218,110
726347,299,323,189,218,110
728828,299,323,189,218,110
731333,299,323,189,218,110
733799,299,323,189,218,110
736318,299,323,189,218,110
738786,299,323,189,218,110
741268,299,323,189,218,110
743776,299,323,189,218,110
746287,299,323,189,218,110
748772,299,323,189,218,110
751324,299,323,189,218,110
753791,299,323,189,218,110
756234,299,323,189,218,110
758727,299,323,189,218,110
761195,299,323,189,218,110
763661,299,323,189,218,110
766155,299,323,189,218,110
768624,299,323,189,218,110
771090,299,323,189,218,110
773585,299,323,189,218,110
776092,299,323,189,218,110
778586,299,323,189,218,110
781100,289,323,189,218,110
783722,289,323,189,218,110
786240,289,323,189,218,110
788814,289,323,189,218,110
791326,289,323,189,208,110
794022,289,323,189,208,110
796702,289,323,189,208,110
799215,279,323,189,208,110
801634,279,323,189,198,110
804073,279,323,179,198,110
806477,279,323,179,198,110
809134,269,323,179,198,110
811654,269,323,179,198,110
814335,269,323,169,198,110
816879,269,313,169,188,110
819337,259,313,169,188,100
821925,259,313,169,188,100
824524,259,313,169,188,100
827175,259,303,169,188,90
829949,259,303,169,188,90
832566,249,303,159,188,90
835315,249,303,159,188,90
838110,249,303,159,188,90
841355,249,293,159,188,80
844098,249,293,159,188,80
846774,249,293,159,188,80
849418,249,293,159,188,80
852012,249,293,159,188,80
854509,249,293,159,188,80
857051,239,293,159,188,80
859652,239,293,159,188,80
862290,239,293,159,188,80
865006,239,293,159,188,80
867436,239,293,159,188,80
870096,239,283,159,188,80
872785,239,283,159,188,80
875444,239,283,159,188,80
878113,239,283,159,188,80
880805,239,273,159,188,80
883427,239,273,159,188,80
886186,239,273,159,188,80
888910,239,273,159,188,80
891654,239,273,159,188,80
894296,239,273,159,188,80
897000,239,273,159,188,80
899731,239,273,159,188,80
902389,239,273,159,188,80
905114,239,273,159,188,80
907900,239,273,159,188,80
910661,239,273,159,188,70
913445,239,273,159,188,70
916228,239,273,159,188,70
919020,239,273,159,188,70
921773,239,273,159,188,70
924577,239,273,159,188,70
927364,239,273,159,188,70
930032,239,273,159,188,70
932772,239,273,159,188,70
935515,239,263,159,188,60
938439,239,263,159,188,60
941315,239,263,159,188,60
944274,239,263,159,188,60
947026,239,263,159,188,60
949867,239,263,159,188,60
952672,239,263,159,188,60
955560,239,263,159,188,60
958458,239,263,159,188,60
961240,239,263,159,188,60
964144,239,263,159,188,60
967022,239,263,159,188,60
969848,239,263,159,188,60
972596,239,263,159,188,60
975484,239,263,159,188,60
978347,239,263,159,188,60
981125,239,263,159,188,60
983970,239,263,159,188,60
986748,239,263,159,188,60
989515,239,263,159,188,60
992372,239,263,159,188,60
995267,239,263,159,188,60
998080,239,263,159,188,60
1001006,239,263,159,188,60
1003878,239,263,159,188,60
1006655,239,263,159,188,60
1009405,239,263,159,188,60
1012196,239,263,159,188,60
1015126,239,263,159,188,60
1018006,239,263,159,188,60
1020897,239,263,159,188,60
1023723,239,263,159,188,60
1026520,239,263,159,188,60
1029312,239,263,159,188,60
1032180,239,263,159,188,60
1035046,239,263,159,188,60
1037893,239,263,159,188,60
1040786,239,263,159,188,60
1043580,239,263,159,188,60
1046366,239,263,159,188,60
1049202,239,263,159,188,60
1052068,239,263,159,188,60
1054881,239,263,159,188,60
1057704,239,263,159,188,60
1060473,239,263,159,188,60
1063332,239,263,159,188,60
1066174,239,263,159,188,60
1069060,239,263,159,188,60
1071869,239,263,159,188,60
1074682,239,263,159,188,60
1077454,239,263,159,188,60
1080213,239,263,159,188,60
1082936,239,263,159,188,60
1085793,239,263,159,188,60
1088623,239,263,159,188,60
1091402,239,263,159,188,60
1094234,239,263,159,188,60
1097110,239,263,159,188,60
1099959,239,263,159,188,60
1102825,239,263,159,188,60
1105644,239,263,159,188,60
1108426,239,263,159,188,60
1111264,239,263,159,188,60
1114117,239,263,159,188,60
1116821,239,263,159,188,60
1119567,239,263,159,188,60
1122355,239,263,159,188,60
1125210,239,263,159,188,60
1127971,239,263,159,188,60
1130734,239,263,159,188,60
1133513,239,263,159,188,60
1136326,239,263,159,188,60
1139128,239,263,159,188,60
1141868,239,263,159,188,60
1144654,239,263,159,188,60
1147519,239,263,159,188,60
1150389,239,263,159,188,60
1153242,239,263,159,188,60
1156064,239,263,159,188,60
1158833,239,263,159,188,60
1161673,239,263,159,188,60
1164420,239,263,159,188,60
1167248,239,263,159,188,60
1170090,239,263,159,188,60
1172997,239,263,159,188,60
1175867,239,263,159,188,60
1178661,239,263,159,188,60
1181438,239,263,159,188,60
1184232,239,263,159,188,60
1187085,239,263,159,188,60
1189843,239,263,159,188,60
1192679,239,263,159,188,60
1195505,239,263,159,188,60
1198304,239,263,159,188,60
1201176,239,263,159,188,60
1204062,239,263,159,188,60
1206952,239,263,159,188,60
1209761,239,263,159,188,60
1212616,239,263,159,188,60
1215463,239,263,159,188,60
1218239,239,263,159,188,60
1221065,239,263,159,188,60
1223896,239,263,159,188,60
1226801,239,263,159,188,60
1229652,239,263,159,188,60
1232476,239,263,159,188,60
1235358,239,263,159,188,60
1238247,239,263,159,188,60
1241041,239,263,159,188,60
1243862,239,263,159,188,60
1246747,239,263,159,188,60
1249560,239,263,159,188,60
1252422,239,263,159,188,60
1255214,239,263,159,188,60
1258017,239,263,159,188,60
1260895,239,263,159,188,60
1263689,239,263,159,188,60
1266485,239,263,159,188,60
1269313,239,263,159,188,60
1272147,239,263,159,188,60
1274906,239,263,159,188,60
1277689,239,263,159,188,60
1280483,239,263,159,188,60
1283305,239,263,159,188,60
1286141,239,263,159,188,60
1289000,239,263,159,188,60
1291878,239,263,159,188,60
1294681,239,263,159,188,60
1297492,239,263,159,188,60
1300236,239,263,159,188,60
1303001,239,263,159,188,60
1305868,239,263,159,188,60
1308680,239,263,159,188,60
1311468,239,263,159,188,60
1314249,239,263,159,188,60
1317037,239,263,159,188,60
1319838,239,263,159,188,60
1322697,239,263,159,188,60
1325550,239,263,159,188,60
1328409,239,263,159,188,60
1331208,239,263,159,188,60
1334093,239,263,159,188,60
1336894,239,263,159,188,60
1339722,239,263,159,188,60
1342469,239,263,159,188,60
1345249,239,263,159,188,60
1348132,239,263,159,188,60
1350870,239,263,159,188,60
1353633,239,263,159,188,60
1356530,239,263,159,188,60
1359314,239,263,159,188,60
1362094,239,263,159,188,60
1364962,239,263,159,188,60
1367784,239,263,159,188,60
1370624,239,263,159,188,60
1373441,239,263,159,188,60
1376269,239,263,159,188,60
1379011,239,263,159,188,60
1381843,239,263,159,188,60
1384771,239,263,159,188,60
1387509,239,263,159,188,60
1390393,239,263,159,188,60
1393198,239,263,159,188,60
1395971,239,263,159,188,60
1398776,239,263,159,188,60
1401564,239,263,159,188,60
1404365,239,263,159,188,60
1407218,239,263,159,188,60
1410021,239,263,159,188,60
1412834,239,263,159,188,60
1415633,239,263,159,188,60
1418559,239,263,159,188,60
1421447,239,263,159,188,60
1424286,239,263,159,188,60
1427093,239,263,159,188,60
1429839,239,263,159,188,60
1432625,239,263,159,188,60
1435394,239,263,159,188,60
1438268,239,263,159,188,60
1441106,239,263,159,188,60
1443932,239,263,159,188,60
1446777,239,263,159,188,60
1449548,239,263,159,188,60
1452340,239,263,159,188,60
1455121,239,263,159,188,60
1457969,239,263,159,188,60
1460780,239,263,159,188,60
1463623,239,263,159,188,60
1466440,239,263,159,188,60
1469276,239,263,159,188,60
1472129,239,263,159,188,60
1474875,239,263,159,188,60
1477716,239,263,159,188,60
1480477,239,263,159,188,60
1483331,239,263,149,188,60
1486193,239,263,149,188,60
1489074,239,263,149,188,60
1491909,239,263,149,188,60
1494799,239,263,149,188,60
1497694,239,263,149,188,60
1500590,239,263,149,188,60
1503465,239,263,149,188,60
1506265,239,263,149,188,60
1509120,239,263,149,188,60
1512022,239,263,149,188,60
1514921,239,263,149,188,60
1517707,239,263,149,188,60
1520538,239,263,149,188,60
1523472,239,263,149,188,60
1526449,239,263,149,188,60
1529313,239,263,149,188,60
1532023,239,263,149,188,60
1534837,239,263,149,188,60
1537771,239,263,149,188,60
1540614,239,263,149,188,60
1543445,239,263,149,188,60
1546486,239,263,149,188,60
1549376,239,263,149,188,60
1552125,239,263,149,188,60
1554902,239,263,149,188,60
1557783,239,263,149,188,60
1560622,239,263,149,188,60
1563511,239,263,149,188,60
1566385,239,263,149,188,60
1569227,239,263,149,188,60
1572021,239,263,149,188,60
1574780,239,263,149,188,60
1577751,239,263,149,188,60
1580693,239,263,149,188,60
1583474,239,263,149,188,60
1586232,239,263,149,188,60
1589177,239,263,149,188,60
1592169,239,263,149,188,60
1595039,239,263,149,188,60
1597941,239,263,149,188,60
1600793,239,263,149,188,60
1603638,239,263,149,188,60
1606542,239,263,149,188,60
1609388,239,263,149,188,60
1612236,239,263,149,188,60
1615131,239,263,149,188,60
1618114,239,263,149,188,60
1621031,239,263,149,188,60
1623927,239,263,149,188,60
1626797,239,263,149,188,60
1629658,239,263,149,188,60
1632520,239,263,149,188,60
1635445,239,263,149,188,60
1638263,239,263,149,188,60
1641153,239,263,149,188,60
1644012,239,263,149,188,60
1646822,239,263,149,188,60
1649710,239,263,149,188,60
1652609,239,263,149,188,60
1655439,239,263,149,188,60
1658333,239,263,149,188,60
1661164,239,263,149,188,60
1664113,239,263,149,188,60
1666978,239,263,149,188,60
1669885,239,263,149,188,60
1672812,239,263,149,188,60
1675629,239,263,149,188,60
1678531,239,263,149,188,60
1681419,239,263,149,188,60
1684304,239,263,149,188,60
1687202,239,263,149,188,60
1690080,239,263,149,188,60
1692969,239,263,149,188,60
1695851,239,263,149,188,60
1698769,239,263,149,188,60
1701681,239,263,149,188,60
1704490,239,263,149,188,60
1707387,239,263,149,188,60
1710185,239,263,149,188,60
1713140,239,263,149,188,60
1716029,239,263,149,188,60
1718978,239,263,149,188,60
1721903,239,263,149,188,60
1724748,239,263,149,188,60
1727632,239,263,149,188,60
1730457,239,263,149,188,60
1733313,239,263,149,188,60
1736243,239,263,149,188,60
1739138,239,263,149,188,60
1742010,239,263,149,188,60
1745002,239,263,149,188,60
1747924,239,263,149,188,60
1750763,239,263,149,188,60
1753679,239,263,139,188,60
1756686,239,263,139,188,60
1759480,239,263,139,188,60
1762462,239,263,139,188,60
1765604,239,263,129,188,60
1768498,239,263,129,188,60
1771402,239,263,129,188,60
1774291,239,263,129,188,60
1777128,239,263,129,188,60
1780089,239,263,119,188,60
1783155,239,263,119,188,60
